method,m,pi0,effect_size,alpha,rep,FDR,Power
Uncorrected,16,0.75,0.5,0.05,75,0.0,0.0
BH,16,0.75,0.5,0.05,76,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,76,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,76,1.0,0.0
BH,16,0.75,0.5,0.05,77,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,77,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,77,0.0,0.0
BH,16,0.75,0.5,0.05,78,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,78,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,78,1.0,0.0
BH,16,0.75,0.5,0.05,79,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,79,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,79,0.0,0.0
BH,16,0.75,0.5,0.05,80,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,80,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,80,1.0,0.0
BH,16,0.75,0.5,0.05,81,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,81,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,81,0.5,0.25
BH,16,0.75,0.5,0.05,82,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,82,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,82,1.0,0.0
BH,16,0.75,0.5,0.05,83,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,83,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,83,1.0,0.0
BH,16,0.75,0.5,0.05,84,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,84,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,84,0.3333333333333333,0.5
BH,16,0.75,0.5,0.05,85,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,85,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,85,1.0,0.0
BH,16,0.75,0.5,0.05,86,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,86,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,86,0.0,0.0
BH,16,0.75,0.5,0.05,87,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,87,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,87,0.0,0.25
BH,16,0.75,0.5,0.05,88,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,88,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,88,0.0,0.0
BH,16,0.75,0.5,0.05,89,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,89,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,89,0.0,0.0
BH,16,0.75,0.5,0.05,90,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,90,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,90,0.0,0.0
BH,16,0.75,0.5,0.05,91,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,91,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,91,0.0,0.0
BH,16,0.75,0.5,0.05,92,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,92,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,92,0.0,0.0
BH,16,0.75,0.5,0.05,93,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,93,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,93,0.0,0.0
BH,16,0.75,0.5,0.05,94,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,94,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,94,1.0,0.0
BH,16,0.75,0.5,0.05,95,1.0,0.0
Bonferroni,16,0.75,0.5,0.05,95,1.0,0.0
Uncorrected,16,0.75,0.5,0.05,95,1.0,0.0
BH,16,0.75,0.5,0.05,96,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,96,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,96,0.0,0.0
BH,16,0.75,0.5,0.05,97,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,97,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,97,0.0,0.25
BH,16,0.75,0.5,0.05,98,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,98,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,98,0.0,0.0
BH,16,0.75,0.5,0.05,99,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,99,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,99,0.0,0.0
BH,16,0.75,0.5,0.05,100,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,100,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,100,0.0,0.0
BH,16,0.75,0.5,0.05,101,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,101,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,101,1.0,0.0
BH,16,0.75,0.5,0.05,102,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,102,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,102,0.0,0.0
BH,16,0.75,0.5,0.05,103,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,103,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,103,0.0,0.25
BH,16,0.75,0.5,0.05,104,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,104,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,104,1.0,0.0
BH,16,0.75,0.5,0.05,105,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,105,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,105,1.0,0.0
BH,16,0.75,0.5,0.05,106,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,106,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,106,0.0,0.25
BH,16,0.75,0.5,0.05,107,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,107,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,107,0.3333333333333333,0.5
BH,16,0.75,0.5,0.05,108,0.0,0.25
Bonferroni,16,0.75,0.5,0.05,108,0.0,0.25
Uncorrected,16,0.75,0.5,0.05,108,0.0,0.5
BH,16,0.75,0.5,0.05,109,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,109,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,109,1.0,0.0
BH,16,0.75,0.5,0.05,110,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,110,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,110,0.0,0.0
BH,16,0.75,0.5,0.05,111,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,111,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,111,0.0,0.25
BH,16,0.75,0.5,0.05,112,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,112,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,112,1.0,0.0
BH,16,0.75,0.5,0.05,113,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,113,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,113,0.3333333333333333,0.5
BH,16,0.75,0.5,0.05,114,0.0,0.0
